"sheets.Sheet1.Rank","sheets.Sheet1.Last.year","sheets.Sheet1.Up.or.down","sheets.Sheet1.Name","sheets.Sheet1.Position","sheets.Sheet1.Club.on.20.Dec.2016","sheets.Sheet1.League","sheets.Sheet1.Age.on.20.Dec.2016","sheets.Sheet1.Nationality","sheets.Sheet1.Filters","sheets.Sheet1.Image.found","sheets.Sheet1.Video.Path","sheets.Sheet1.Facewall.cell.image.GRID.src","sheets.Sheet1.Facewall.cell.image.GRID.attributes","sheets.Sheet1.Facewall.main.image.GRID.src","sheets.Sheet1.Facewall.main.image.GRID.attributes","sheets.Sheet1.","sheets.Sheet1.Profile","sheets.Sheet1.Writer","sheets.Sheet1.Words","sheets.Sheet1.Copy.in","sheets.Sheet1.To.be.subbed.by","sheets.Sheet1.Subbed","sheets.Sheet1.Revised"
"76","","New","Roberto Firmino","Forward","Liverpool","England","25","Brazil","Brazilian, Premier League, Forwards","","","https://media.guim.co.uk/41ec3bcf3e1fae858c8acb05416267bce35b4a60/360_84_827_827","cropRatio=827,827&size=140,500,827","https://media.guim.co.uk/794e46f579fa31dfca5c32e7d98b5f952852ec87/146_160_2843_1598","cropRatio=2843,1598&size=140,500,1000,2000,2843","","The Brazil international is a new entry on our list, reflecting his progress in a year when he <a href=""https://www.theguardian.com/football/2016/nov/07/roberto-firmino-jurgen-klopp-liverpool-top-premier-league-title"" >became the point of Liverpool's forward line</a>, ousting Daniel Sturridge in the process, and demonstrated why Jürgen Klopp had such belief in the potential of the squad he inherited from Brendan Rodgers. Klopp saw it as a coup when Liverpool <a href=""https://www.theguardian.com/football/2016/nov/07/roberto-firmino-jurgen-klopp-liverpool-top-premier-league-title"" >landed the Brazilian for £29m from Hoffenheim</a> while he was on sabbatical, believing they had signed a player fundamental to the manager's approach. “He is a connecting player,” the former Borussia Dortmund coach explained. “A finisher, a fighter, the first defender. A lot of things he is good at are very important for us.”","Andy Hunter","100","√SM","NAm","NAm","TD"
"77","","New","Yannick Carrasco","Forward","Atlético Madrid","Spain","23","Belgium","Other nationalities, La Liga, Forwards","","","https://media.guim.co.uk/0d690be1c81c0a6df6e351626a68025d5b139fb2/792_147_892_892","cropRatio=892,892&size=140,500,892","https://media.guim.co.uk/e91fcd65899733399afe94a3044d708b3e30c132/232_74_3722_2093","cropRatio=3722,2093&size=140,500,1000,2000,3722","","As celebrations go, the rising star of Belgian football could not have planned his any better. The kiss planted on girlfriend Noemie Happart’s lips after his equaliser for Atlético Madrid <a href=""https://www.theguardian.com/football/2016/may/28/real-madrid-atletico-madrid-champions-league-final-match-report"" >in the Champions League final</a> against their bitter rivals announced the 23-year-old on the world stage after a stop-start debut season in Spain. Carrasco has now established himself as a regular starter for both club and country, with nine goals during a purple patch in October and November confirming his immense talent. Expect him to improve on this position next year if he maintains his rate of progress. ","Ed Aarons","100","√SM","RC","RC","NAm"
"78","58","-20","Dani Alves","Defender","Juventus","Italy","33","Brazil","Brazilian, Serie A, Defenders","","","https://media.guim.co.uk/6f83b7362308126668332f4ac3796045406c4b42/606_773_994_993","cropRatio=994,993&size=140,500,994","https://media.guim.co.uk/fcf4e10a702d634cfbcd83cfb702c511fdce2bbb/5_83_4307_2421","cropRatio=4307,2421&size=140,500,1000,2000,4307","","“Who remembers Dani Alves now?” asked the early-season headlines, remembering Dani Alves. A few weeks later and they really, really remembered him. Some were keen to see him go but they miss him now, even if they don’t always admit it. At the start, Sergi Roberto was playing well at full-back, but he has been exposed in recent weeks in a way in which, however much people criticised Alves’s supposed inability to defend, rarely happened with the Brazilian. Barcelona miss his creativity, energy <a href=""https://www.theguardian.com/football/2016/mar/14/dani-alves-barcelona-happier-before-fame"" >and attitude, too</a>. Football does, in fact, since he suffered a broken leg with Juventus.","Sid Lowe","100","√MC","NAm","NAm","TD"
"79","","New","Nani","Forward","Valencia","Spain","30","Portugal ","Other nationalities, La Liga, Forwards","","","https://media.guim.co.uk/325ec4419a553c8835318537bc92d1a680f6b033/1284_203_2354_2355","cropRatio=2354,2355&size=500,1000,2000,2354","https://media.guim.co.uk/85b41d161a6ca9af1e6a23b525efbca5f67cdfb3/7_41_5396_3034","cropRatio=5396,3034&size=140,500,1000,2000,5396","","The winger’s return to the 100 is recognition of his growing maturity as he hits 30. Nani has been quietly impressive since leaving Manchester United in 2014, but it’s his exploits for Portugal that have really caught the eye. Perhaps it is fate that Fernando Santos solved their perennial centre-forward problem by simply repositioning a couple of wingers, but Nani was integral to their triumph at Euro 2016. Allowed to use his natural gifts more spontaneously, rather than overthinking things, he <a href=""https://www.theguardian.com/football/2016/jul/09/nani-portugal-centre-stage-euro-2016"" >provided vital support to Cristiano Ronaldo as second striker</a> in the Seleção’s 4-4-2 and stood out like never before.","Andy Brassell","100","√SM","NAm","NAm","TD"
"80","","New","Gianluigi Donnarumma","Goalkeeper","Milan","Italy","17","Italy","Italian, Serie A, Goalkeepers","","","https://media.guim.co.uk/fffaecd27397ef78ee236df404be364e36e17d80/713_635_1434_1433","cropRatio=1434,1433&size=140,500,1000,1434","https://media.guim.co.uk/8ddea195e6dced308ee7b479de6575c551d3a984/9_259_3489_1961","cropRatio=3489,1961&size=140,500,1000,2000,3489","","When Gianluigi Buffon finally calls it a day, his successor will be ready at hand. Even by the exacting measures set by the incumbent Italy No1, Donnarumma is ahead of schedule: while Buffon made his national team debut three months shy of his 20th birthday, there was Donnarumma, in September, replacing his idol at half-time of a friendly with France at the age of 17 years, 189 days. That seemed symbolic and although the transition will not occur yet it is unlikely to be too long: at 6ft 5in Donnarumma has an extraordinary physique but equally impressive is the command of his penalty area that <a href=""https://www.theguardian.com/football/2015/oct/29/gianluigi-donnarumma-milan-goalkeeper"" >such a young goalkeeper</a> exerts each week for AC Milan. “My son, at 17, still seemed like a boy,” admitted Buffon’s father, admiringly, in October; Donnarumma is already standing tall among adults.","Nick Ames","125","√MC","RC","RC","NAm"
"81","84","3","Claudio Bravo","Goalkeeper","Manchester City","England","33","Chile","Other nationalities, Premier League, Goalkeepers","","","https://media.guim.co.uk/664450ba675e5cc4dd9c0d8c6f9391a9fcb0cde8/1001_144_913_913","cropRatio=913,913&size=140,500,913","https://media.guim.co.uk/09aa8b4795f7cd2241d9f094ae69b3f8e81b958e/562_312_4258_2394","cropRatio=4258,2394&size=140,500,1000,2000,4258","","Under fire in England, but highly rated in Spain and South America, the goalkeeper has had a curious year. Regular watchers of Manchester City might find Bravo’s rise in the rankings difficult to understand. <a href=""https://www.theguardian.com/football/2016/dec/09/claudio-bravo-manchester-city-goalkeeper"" >Bought by Pep Guardiola</a> as a replacement for Joe Hart because of his passing ability, Bravo has often looked uncertain, particularly during <a href=""https://www.theguardian.com/football/2016/oct/19/barcelona-manchester-city-champions-league-match-report-messi"" >that traumatic Camp Nou return in October</a>, yet it is too early to write him off. Having helped Barcelona win La Liga last season, he was Chile’s hero in the summer when their <a href=""https://www.theguardian.com/football/2016/jun/26/chile-win-copa-america-argentina-match-report-penalty-shoot-out"" >Copa América final against Argentina</a> went to penalties.","Jacob Steinberg","100","√SM","NAm","NAm","TD"
"82","","New","Marek Hamsik","Midfielder","Napoli","Italy","29","Slovakia","Other nationalities, Serie A, Midfielders","","","https://media.guim.co.uk/9400a3a19a0d6aba238e06c2a618b009c042ccd8/272_418_722_722","cropRatio=722,722&size=140,500,722","https://media.guim.co.uk/29c8c1a1eb213f70b49c98ea17011a80ec16a74e/428_57_4448_2505","cropRatio=4448,2505&size=140,500,1000,2000,4448","","Slovakia’s Euro 2016 performance ended up being a footnote but one moment stood out. There was little evident danger when Hamsik picked up a short corner <a href=""https://www.theguardian.com/football/blog/2016/jun/15/marek-hamsik-calm-class-slovakia-win-russia"" >in the group stage against Russia</a> but his subsequent finish, running into the box before thudding an angled effort in off the post, was one of the tournament’s best goals. Hamsik is his country’s one world-class player and offers similar gifts to Napoli, where he will have completed a decade at the end of the season. His goalscoring output, always healthy, nears one in three this term and there are few playmakers around with his mixture of elegance and dynamism.","Nick Ames","100","√MC","RC","RC","NAm"
"83","","New","Miguel Borja","Forward","Atlético Nacional","Colombia","23","Colombia","Other nationalities, Other league, Forwards","","","https://media.guim.co.uk/4d5db0dd08322494d777bbeb3ff52e127e10b5eb/1557_142_1384_1383","cropRatio=1384,1383&size=140,500,1000,1384","https://media.guim.co.uk/5889c693ad6fdc4def79e06cf566495f4f4b276b/0_31_4758_2677","cropRatio=4758,2677&size=140,500,1000,2000,4758","","At the start of this year, Borja seemed to be fading from view after an early crack at Europe. The striker had moved from Cortuluá, a provincial Colombia club, to Livorno as a 20-year-old in 2013, a loan move eventually becoming permanent, but achieved little in Italy and returned to his old team at something close to square one. But a six-month spell that brought 19 goals in 21 games earned him a move to Atlético Nacional and then things really lifted off: on his debut he scored twice against Sao Paulo in the Copa Liberatadores semi-finals, repeating the trick in the second leg and earning the team a final against Independiente del Valle – in which he produced the winner. Borja is strong, quick and a varied, explosive finisher; Europe may well call again soon.","Nick Ames","100","√MC","NAm","NAm","TD"
"84","53","-31","Blaise Matuidi","Midfielder","PSG","France","29","France","French, Other leagues, Midfielders","","","https://media.guim.co.uk/7a2a74fde9144818fd5e540f87ce1b953bbe78ea/655_44_1100_1100","cropRatio=1100,1100&size=140,500,1000,1100","https://media.guim.co.uk/f274c5cbd1762ca8fcd5dd423b67e8134dd4cce2/0_14_2941_1661","cropRatio=2941,1661&size=140,500,1000,2000,2941","","Seemingly bored by <a href=""https://www.theguardian.com/football/2016/mar/13/psg-troyes-9-0-ligue-1-title"" >sweeping the board in France every year</a>, Matuidi was close to leaving Paris Saint-Germain in the summer but eventually stayed. At first he was demoted to the bench but after a month of the new season the club's new manager, Unai Emery, restored him to the starting lineup and even made him captain for several matches, which was acknowledgment of the midfielder's leadership skills and his aptitude to aptitude to play the frenzied pressing style demanded by the manager while also being tidy in possession and a goal threat. Didier Deschamps trusts in him, too.","Paul Doyle","100","√SM","NAm","NAm","TD"
"85","","New","Ilkay Gündogan","Midfielder","Manchester City","England","26","Germany","German, Premier League, Midfielders","","","https://media.guim.co.uk/b0ee4d45a80c765a4a8a8983449c7c43d08ab965/582_50_670_669","cropRatio=670,669&size=140,500,670","https://media.guim.co.uk/fe73e8dee55fda0b2be24f73babefe8dec75bbc0/4_70_2710_1524","cropRatio=2710,1524&size=140,500,1000,2000,2710","","It was mid-September before Gündogan, who had been struck down by a knee injury that <a href=""https://www.theguardian.com/football/2016/jul/03/ilkay-gundogan-germany-manchester-city-euro-2016"" >scuppered his Euro 2016</a> and delayed the start of his Manchester City career, could show why Pep Guardiola had been so keen to bring him from Borussia Dortmund. By 1 November he had scored five times for City, including <a href=""https://www.theguardian.com/football/2016/nov/02/ilkay-gundogan-manchester-city-barcelona-champions-league-group-c"" >two in the win over Barcelona</a> that was the clearest signal yet of what Guardiola's team might become. Gündogan had been known more for his metronomic passing and anticipation in deeper areas of the midfield before then, but that night he was ferocious in the press and clinical when chances came his way. Guardiola feels he can get even more from Gündogan, who is certainly intelligent enough to take in his manager's instructions. His 2017 may be tougher after sustaining the injury against Watford in December that could derail his season.","Nick Ames","100","√MC","NAm","NAm","TD"
"86","87","1","Juan Mata","Midfielder","Manchester United","England","28","Spain","Spanish, Premier League, Midfielders","","","https://media.guim.co.uk/b224817e99c770b67a3e0c2f5381df66e504e9be/520_175_892_892","cropRatio=892,892&size=140,500,892","https://media.guim.co.uk/8fcadc354dbe92443d9139d31c6f4c1389a246cb/2_271_4678_2630","cropRatio=4678,2630&size=140,500,1000,2000,4678","","You sometimes wonder how it must feel to be Juan Mata, who often <a href=""https://www.theguardian.com/football/2016/apr/25/manchester-united-juan-mata-footballers-obscene-money"" >seems a quixotic presence</a> in a football world whose top end is beset by cynicism. He was widely considered not long for Manchester United upon the arrival of José Mourinho, under whom he had fallen from favour at Chelsea, but his influence at the club had already been keenly felt. It was his goal – one of 10 last season – that rescued United from defeat <a href=""https://www.theguardian.com/football/2016/may/21/crystal-palace-manchester-united-fa-cup-final-match-report"" >in the FA Cup final against Crystal Palace</a> and he has made key contributions this time around too. A lack of pace has tended to be his biggest drawback and how he fares under Mourinho now that an invigorated Henrikh Mkhitaryan is hitting form may define his medium-term future.","Nick Ames","100","√MC","NAm","NAm","TD"
"87","19","-68","James Rodríguez","Midfielder","Real Madrid","Spain","25","Colombia","Other nationalities, La Liga, Midfielders","","","https://media.guim.co.uk/752bb389acb87a9bf3151ea53de5e3395a98de99/1445_195_1074_1075","cropRatio=1074,1075&size=500,1000,1074","https://media.guim.co.uk/b9346fba5675cf74547ba43d660c68e3c752ed04/0_186_3249_1827","cropRatio=3249,1827&size=140,500,1000,2000,3249","","Rodríguez has the ignominy of making the biggest fall among those who have retained a place in the Top 100 this year. It has been a year of fits and starts for the Colombian, who watched all 120 minutes of <a href=""https://www.theguardian.com/football/2016/may/28/real-madrid-atletico-madrid-champions-league-final-match-report"" >Real Madrid's Champions League win</a> from the bench and has since struggled to muster any real consistency under Zinedine Zidane, although there have been a few more starts recently. He remains a player of brilliant range and vision but may move on for more of a centre-stage role in the next year and Paris Saint-Germain, who have a vacancy for a star, have been among those linked.","Nick Ames","100","√MC","NAm","NAm","TD"
"88","62","-26","Raheem Sterling","Forward","Manchester City","England","22","England","English, Premier League, Forwards","","","https://media.guim.co.uk/ed052815e69b69287fbb21520fede5feabbb92aa/592_416_648_648","cropRatio=648,648&size=140,500,648","https://media.guim.co.uk/916b5e68c8b83c3a62b7ea9d8f223c70dcb15e55/405_292_3568_2007","cropRatio=3568,2007&size=140,500,1000,2000,3568","","It has been an up and down year for Raheem Sterling, who drops 26 places from his position on last year's roll of honour. Unfairly scapegoated for what was a collective England failure at Euro 2016 in an alarming number of tabloid splashes with sinister racial undertones, Sterling recovered from a noticeable dip in form last season to become a revelation for Manchester City. The switch seems to have been flicked by the mother of all Pep talks from a new club manager who employed the highly scientific motivational technique of <a href=""https://www.theguardian.com/football/2016/sep/12/raheem-sterling-pep-guardiola-manchester-city"" >ringing a kid whose confidence is shot</a> just to tell him that he is great.","Barry Glendenning","100","√MC","NAm","NAm","TD"
"89","22","-67","Arjen Robben","Forward","Bayern Munich","Germany","32","Netherlands","Other nationalities, Bundesliga, Forwards","","","https://media.guim.co.uk/386c748a544a67fb817d58c15ee6575a2542c0e8/540_80_704_704","cropRatio=704,704&size=140,500,704","https://media.guim.co.uk/c2b1910729940ea38e75d2de0616a4126a498ca5/0_155_3500_1969","cropRatio=3500,1969&size=140,500,1000,2000,3500","","He’s the wrong side of 30 (32, to be precise), <a href=""https://www.theguardian.com/football/2016/jul/17/arjen-robben-bayern-munich-injury"" >breaks down more than a clapped-out VW Beetle</a>, he spends as much time on the ground as nice piece of parquet flooring and can still do only one single trick. That trick, however, a full-speed diagonal inside run from the right, followed by a curled, powerful left-foot shot into the top corner, remains impossible to defend against. Carlo Ancelotti has given the easily-flying Dutchman a new lease of life at Bayern, where Robben continues to elevate his team to another level in any game. It’s just a shame he doesn’t play more of them – hence his steep fall in this year's ranking.","Raphael Honigstein","100","√SM","NAm","NAm","TD"
"90","","New","Dele Alli","Midfielder","Tottenham Hotspur","England","20","England","English, Premier League, Midfielders","","","https://media.guim.co.uk/46a4eef35c953c780207bf1ec88a26c1fb64f271/1228_140_781_781","cropRatio=781,781&size=140,500,781","https://media.guim.co.uk/0f5b7c36ae539598fbaf7909efec252fea40f55e/12_139_5292_2975","cropRatio=5292,2975&size=140,500,1000,2000,5292","","The Tottenham Hotspur midfielder is one of the hottest prospects in Europe: one of those rare talents who can light up a game with a single moment – normally a trick, feint or nutmeg. His rise has been startling. At the end of 2014-15, he had <a href=""https://www.theguardian.com/football/football-league-blog/2015/apr/20/patrick-bamford-dele-alli-win-football-league-awards"" >won promotion from League One with MK Dons</a>; at the end of last season, he was the PFA's young player of the year, having scored 10 Premier League goals and been central to Tottenham's title challenge. Sir Alex Ferguson has described him as the best midfielder he has seen since Paul Gascoigne. <a href=""https://www.theguardian.com/football/2016/jun/09/dele-alli-england-euro-2016"" >Already an England regular</a>, Alli's game is built on technique, fitness, audacity and fearlessness.","David Hytner","100","√SM","NAm","NAm","TD"
"91","","New","Adrien Silva","Midfielder","Sporting Lisbon","Portugal","27","Portugal","Other nationalities, Other leagues, Midfielders","","","https://media.guim.co.uk/82e2bd6c86b596e69b46ea5e2067e4ba64483799/417_252_568_567","cropRatio=568,567&size=140,500,568","https://media.guim.co.uk/65fded45ae7a091108f85ecbaf9f454eb3c5d17f/313_824_4461_2508","cropRatio=4461,2508&size=140,500,1000,2000,4461","","Another newcomer to the 100, the midfielder was one from the Sporting production line that could have easily slipped through the cracks, sent out on loan before coming a regular first-teamer in 2013 as the club recovered their homegrown focus. At Euro 2016, Silva found his place; the blue-collar player for <a href=""https://www.theguardian.com/football/who-scored-blog/2016/jul/13/portugal-euro-2016-greece-euro-2004"" >the ultimate blue-collar team</a>, not spectacular at anything but highly competent at everything. He is an accomplished passer, tackler and a useful goalscorer – and he even turned his hand to specifically muzzling Luka Modric <a href=""https://www.theguardian.com/football/2016/jun/25/croatia-portugal-euro-2016-match-report"" >in the last-16 game with Croatia</a>. Little wonder <a href=""https://www.theguardian.com/football/2016/jun/25/croatia-portugal-euro-2016-match-report"" >Leicester wanted to bring him to the Premier League</a>.","Andy Brassell","100","√SM","NAm","NAm","TD"
"92","36","-56","Thibaut Courtois","Goalkeeper","Chelsea","England","24","Belgium","Other nationalities, Premier League, Goalkeepers","","","https://media.guim.co.uk/9baafff22b5154ce2def53e8851e681e1ada7837/533_52_651_650","cropRatio=651,650&size=140,500,651","https://media.guim.co.uk/5795ee2b3c30626ff7aa7ae124bc0b7535a82d58/0_151_5307_2983","cropRatio=5307,2983&size=140,500,1000,2000,5307","","The Belgian goalkeeper had been such a consistent performer in the title-winning season of 2014-15 that his toils last term, when progress was interrupted initially by a knee injury and, more latterly, <a href=""https://www.theguardian.com/football/2016/apr/11/chelsea-conte-goalkeeper-courtois-begovic-doubts"" >an apparent pining for life in Spain</a>, damaged his reputation. That would explain his plummet by 56 places in this list. But he is steadily recovering his form this term at Chelsea, buoyed by the team's far more solid backline. He remains a fine shot-stopper but may suffer from not being Petr Cech, to whom all goalkeepers at this club will surely be compared for years ahead.","Dominic Fifield","100","√MC","NAm","NAm","TD"
"93","","New","Fernandinho","Midfielder","Manchester City","England","31","Brazil","Brazilian, Premier League, Midfielders","","","https://media.guim.co.uk/da8e136396c1db79002467bb5b0280f567069553/954_129_704_703","cropRatio=704,703&size=140,500,704","https://media.guim.co.uk/629e6d5893065eec32200ddd52b7b9e9513aca35/2_338_4256_2393","cropRatio=4256,2393&size=140,500,1000,2000,4256","","A player who believes that footballers should engage more with the public, judging by the way he <a href=""https://www.theguardian.com/football/2016/dec/05/fa-bans-manchester-city-sergio-aguero-fernandinho-chelsea"" >ushered Chelsea’s Cesc Fàbregas into the crowd</a> at the Etihad Stadium. Such admirable behaviour must be the explanation for his emergence on the list although it should also be pointed out that the Brazilian has been a solid presence in Manchester City’s midfield, rising above the torpor as the Manuel Pellegrini era stuttered to an unsatisfactory end and impressing Pep Guardiola with his dynamism. He chips in with important goals as well, scoring <a href=""https://www.theguardian.com/football/2016/feb/28/liverpool-manchester-city-capital-one-cup-match-report"" >when City beat Liverpool in the League Cup final</a>.","Jacob Steinberg","100","√SM","NAm","NAm","TD"
"94","61","-33","Alexandre Lacazette","Forward","Lyon","France","25","France","French, Other leagues, Forwards","","","https://media.guim.co.uk/c1bf4ba96c8f84bf9ad74456c3de49b805336cfd/1133_185_2112_2113","cropRatio=2112,2113&size=500,1000,2000,2112","https://media.guim.co.uk/821a07f07439470af77decf6bf9d769b4a67fdc7/0_367_5729_3221","cropRatio=5729,3221&size=140,500,1000,2000,5729","","Back in January he scored the first goal at Lyon's new stadium and that signalled lift-off in a season in which, until then, he had failed to reach the heights of the previous campaign. He eventually ended the Ligue 1 campaign with 21 goals, placing (a distant) second to Zlatan Ibrahimovic in the league's scoring charts. That was not enough to convince Didier Deschamps to include him in the Euro 2016 squad. After a summer off <a href=""https://www.theguardian.com/football/2016/jul/26/arsenal-offer-alexandre-lacazette-rejected"" >in which Lyon rejected Arsenal's advances</a>, he returned to action in style, scoring a hat-trick on the opening day of the new season. Strong, rapid, two-footed and keen-eyed, Lacazette is a striker with no major weakness.","Paul Doyle","100","√SM","NAm","NAm","TD"
"95","","New","Éver Banega","Midfielder","Internazionale","Italy","28","Argentina","Argentinian, Serie A, Midfielders","","","https://media.guim.co.uk/89efc24a4ac29c86fb14ad72d4a3518b3c9dc19c/877_7_1432_1432","cropRatio=1432,1432&size=140,500,1000,1432","https://media.guim.co.uk/4aa0beaab57c29a28b7e1b8092043aaf20da3d72/0_186_2992_1682","cropRatio=2992,1682&size=140,500,1000,2000,2992","","For a player whose career once seemed to be spinning out of control – <a href=""https://www.theguardian.com/football/blog/2010/feb/08/valencia-ever-banega-liga-spain"" >caught pleasuring himself on a webcam one moment</a>, <a href=""https://www.theguardian.com/football/blog/2012/may/29/the-sids-2012-la-liga"" target=""_new"">running over his own foot at a petrol station the next</a> – the story has come full circle. Banega has been a model of control these past two seasons, on the pitch at least, his patient midfield construction providing the platform for <a href=""https://www.theguardian.com/football/2016/may/18/liverpool-sevilla-europa-league-final-match-report"" >consecutive Europa League titles at Sevilla</a>. Whether he can make the same impact at Inter, where he has struggled together with his new team-mates through a chaotic start to the season, remains to be seen.","Paolo Bandini","100","√MC","NAm","NAm","TD"
"96","96","0","Francesco Totti","Forward","Roma","Italy","40","Italy","Italian, Serie A, Forwards","","","https://media.guim.co.uk/b991f12a34076827dd950e97fc75a1ce5edc8d7d/612_301_1021_1020","cropRatio=1021,1020&size=140,500,1000,1021","https://media.guim.co.uk/7c89579abcd6f2858b8414616716944ecab9e595/2_301_4089_2299","cropRatio=4089,2299&size=140,500,1000,2000,4089","","You would have needed a heart of stone not to be moved when, in April and a glorious Roma career seemingly winding down in unsatisfactory fashion, Totti came off the bench 86 minutes <a href=""https://www.theguardian.com/football/blog/2016/apr/21/francesco-totti-italian-football-roy-of-rovers-roma"" >into a match against Torino</a> and straight away turned a 2-1 deficit into a 3-2 win. The celebrations were chaotic and tearful; those two goals were a reminder of the theatre he has brought to the Giallorossi over a period spanning almost two decades and perhaps contributed to his signing a one-year contract in June. That took him past <a href=""https://www.theguardian.com/football/these-football-times/2016/sep/27/francesco-totti-40-roma-italy-eternal"" >his 40th birthday</a>, celebrated in September, and although Totti is these days used sparingly he appears tempted to carry on further. “Why stop?” he asked last month. “I was taken for finished last year.” Even in cameos, the oldest player on this list remains a master of his era.","Nick Ames","100","√MC","RC","RC","NAm"
"97","95","-2","Santi Cazorla","Midfielder","Arsenal","England","32","Spain","Spanish, Premier League, Midfielders","","","https://media.guim.co.uk/d36c197e6a25c43adb8b8d3edc4575f05ff428df/1392_230_1121_1121","cropRatio=1121,1121&size=140,500,1000,1121","https://media.guim.co.uk/ca4b4ec2aed56f30a40fceeb8f2ced6de29630b4/0_143_3400_1915","cropRatio=3400,1915&size=140,500,1000,2000,3400","","When Cazorla plays, Arsenal play. <a href=""https://www.theguardian.com/football/2015/jun/16/santi-cazorla-arsenal-title-chances-jack-wilshere"" >The little Spaniard</a> has long established himself as the club's tempo-setter-in-chief; the man at the heart of those passing rhythms, and his easiness on the eye, particularly in tight spaces, means that he is invariably feted, even after a trying year – in which injuries have bitten hard. <a href=""https://www.theguardian.com/football/2015/dec/02/santi-cazorla-out-three-months-arsenal-knee-injury"" >His absence over the second half of last season</a> was held up as a major reason for Arsenal's failure to win the Premier League title. He is down two places from his position on the 2015 list; where might he he have finished with better luck on the fitness front?","David Hytner","100","√SM","NAm","NAm","TD"
"98","81","-17","Thiago Alcântara","Midfielder","Bayern Munich","Germany","25","Spain","Spanish, Bundesliga, Midfielders","","","https://media.guim.co.uk/cc87cd6a90d08fa717f1ecdae9a5fb522f06c6b8/547_133_1379_1378","cropRatio=1379,1378&size=140,500,1000,1379","https://media.guim.co.uk/e7ac1372f6dc327a273a0f142bee7b4d79e8091b/0_13_3205_1802","cropRatio=3205,1802&size=140,500,1000,2000,3205","","The son of the former Brazil international Mazinho missed the best part of two important years of his development with a troublesome right knee but has now become a regular in the Bayern Munich midfield. Yet <a href=""https://www.theguardian.com/football/2016/mar/21/manchester-city-pep-guardiola-thiago-alcantara"" >any hopes Pep Guardiola may have had</a> of buying him for a second time after luring him to Munich from Barcelona were dealt a blow when he split from his agent brother Pere in October, with Alcântara's father now set to take over. At his best, he remains one of the best passers in the business but now needs to take more games by the scruff of the neck in order to move to the next level. ","Ed Aarons","100","√SM","NAm","NAm","TD"
"99","","New","Julian Weigl","Midfielder","Borussia Dortmund","Germany","21","Germany","German, Bundesliga, Midfielders","","","https://media.guim.co.uk/9d731fcacc94cfee473bc068207798fd17b24787/279_55_588_588","cropRatio=588,588&size=140,500,588","https://media.guim.co.uk/b8f78907fab144b61d1aa6b5758fd3fabdf84df3/0_181_3163_1778","cropRatio=3163,1778&size=140,500,1000,2000,3163","","The young German central midfielder is a newcomer on the list after a superb year with Borussia Dortmund. Still only 21, he is mature beyond his years and already capable of dictating Bundesliga games with his excellent passing. The Nationalmannschaft coach Joachim Löw is a huge fan, too, and gave the youngster his debut and included him in the Euro 2016 squad (although Weigl did not make an appearance in France). “He is a very intelligent young man,” says Thomas Tuchel, his coach at Borussia. “We’re delighted with him – with his sporting development and his personality. He has played an incredible amount of games for us in the last year.”","Marcus Christenson","100","√SM","RC","RC","NAm"
"100","","New","Ousmane Dembélé","Forward","Borussia Dortmund","Germany ","19","France","French, Bundesliga, Forwards","","","https://media.guim.co.uk/df5ef3c5552d7ca5f4b025484a911d988afdaaaa/358_5_796_796","cropRatio=796,796&size=140,500,796","https://media.guim.co.uk/6abff7ab0cc6f0438b21c74e54ed2552f5555d0d/180_108_3714_2088","cropRatio=3714,2088&size=140,500,1000,2000,3714","","Voted Ligue 1's young player of the year at the end of the 2015-16 season after scoring 12 goals in 26 appearances for Rennes, the teenager picked Borussia Dortmund <a href=""https://www.theguardian.com/football/2016/mar/23/ousmane-dembele-football-hottest-property-rennes-bayern-munich-ligue-1"" >from the array of suitors at his door</a> in the summer. The wisdom of that purchase is already clear, as Dembélé has showcased his exceptional talent in the Bundesliga and in the Champions League even if he has not yet fully refined his finishing. His balance, footwork and change of pace are delightful and his conniving with the rest of Dortmund's brigade of attackers make the German side one of the most spectacular in the world. Dembélé has <a href=""https://www.theguardian.com/football/blog/2016/sep/03/europe-european-world-cup-qualifiers-10-ten-rsing-stars-to-watch-italy-poland-football"" >added to France's awesome armoury</a> after becoming a senior international in September.","Paul Doyle","100","√SM","NAm","NAm","TD"
